id	normal	floating	normalTransportEqual	floatingTransportEqual
text-0/a4/m0/n1/c0	match	match	true	true
text-0/a4/m0/n1/c1	match	match	true	true
text-0/a4/m0/n1/c2	match	match	true	true
text-0/a4/m0/n1/c3	match	match	true	true
text-0/a4/m1/n0/c0	match	match	true	true
text-0/a4/m1/n0/c1	match	match	true	true
text-0/a4/m1/n0/c2	match	match	true	true
text-0/a4/m1/n0/c3	match	match	true	true
text-0/a4/m1/n1/c0	match	match	true	true
text-0/a4/m1/n1/c1	match	match	true	true
text-0/a4/m1/n1/c2	match	match	true	true
text-0/a4/m1/n1/c3	match	match	true	true
text-0/a4/m2/n0/c0	match	match	true	true
text-0/a4/m2/n0/c1	match	match	true	true
text-0/a4/m2/n0/c2	match	match	true	true
text-0/a4/m2/n0/c3	match	match	true	true
text-0/a4/m2/n1/c0	match	match	true	true
text-0/a4/m2/n1/c1	match	match	true	true
text-0/a4/m2/n1/c2	match	match	true	true
text-0/a4/m2/n1/c3	match	match	true	true
text-0/a4/m3/n0/c0	match	match	true	true
text-0/a4/m3/n0/c1	match	match	true	true
text-0/a4/m3/n0/c2	match	match	true	true
text-0/a4/m3/n0/c3	match	match	true	true
text-0/a4/m3/n1/c0	match	match	true	true
text-0/a4/m3/n1/c1	match	match	true	true
text-0/a4/m3/n1/c2	match	match	true	true
text-0/a4/m3/n1/c3	match	match	true	true
text-0/a5/m0/n0/c0	match	match	true	true
text-0/a5/m0/n0/c1	match	match	true	true
text-0/a5/m0/n0/c2	match	match	true	true
text-0/a5/m0/n0/c3	match	match	true	true
text-0/a5/m0/n1/c0	match	match	true	true
text-0/a5/m0/n1/c1	match	match	true	true
text-0/a5/m0/n1/c2	match	match	true	true
text-0/a5/m0/n1/c3	match	match	true	true
text-0/a5/m1/n0/c0	match	match	true	true
text-0/a5/m1/n0/c1	match	match	true	true
text-0/a5/m1/n0/c2	match	match	true	true
text-0/a5/m1/n0/c3	match	match	true	true
text-0/a5/m1/n1/c0	match	match	true	true
text-0/a5/m1/n1/c1	match	match	true	true
text-0/a5/m1/n1/c2	match	match	true	true
text-0/a5/m1/n1/c3	match	match	true	true
text-0/a5/m2/n0/c0	match	match	true	true
text-0/a5/m2/n0/c1	match	match	true	true
text-0/a5/m2/n0/c2	match	match	true	true
text-0/a5/m2/n0/c3	match	match	true	true
text-0/a5/m2/n1/c0	match	match	true	true
text-0/a5/m2/n1/c1	match	match	true	true
text-0/a5/m2/n1/c2	match	match	true	true
text-0/a5/m2/n1/c3	match	match	true	true
text-0/a5/m3/n0/c0	match	match	true	true
text-0/a5/m3/n0/c1	match	match	true	true
text-0/a5/m3/n0/c2	match	match	true	true
text-0/a5/m3/n0/c3	match	match	true	true
text-0/a5/m3/n1/c0	match	match	true	true
text-0/a5/m3/n1/c1	match	match	true	true
text-0/a5/m3/n1/c2	match	match	true	true
text-0/a5/m3/n1/c3	match	match	true	true
text-0/a6/m0/n0/c0	match	match	true	true
text-0/a6/m0/n0/c1	match	match	true	true
text-0/a6/m0/n0/c2	match	match	true	true
text-0/a6/m0/n0/c3	match	match	true	true
text-0/a6/m0/n1/c0	match	match	true	true
text-0/a6/m0/n1/c1	match	match	true	true
text-0/a6/m0/n1/c2	match	match	true	true
text-0/a6/m0/n1/c3	match	match	true	true
text-0/a6/m1/n0/c0	match	match	true	true
text-0/a6/m1/n0/c1	match	match	true	true
text-0/a6/m1/n0/c2	match	match	true	true
text-0/a6/m1/n0/c3	match	match	true	true
text-0/a6/m1/n1/c0	match	match	true	true
text-0/a6/m1/n1/c1	match	match	true	true
text-0/a6/m1/n1/c2	match	match	true	true
text-0/a6/m1/n1/c3	match	match	true	true
text-0/a6/m2/n0/c0	match	match	true	true
text-0/a6/m2/n0/c1	match	match	true	true
text-0/a6/m2/n0/c2	match	match	true	true
text-0/a6/m2/n0/c3	match	match	true	true
text-0/a6/m2/n1/c0	match	match	true	true
text-0/a6/m2/n1/c1	match	match	true	true
text-0/a6/m2/n1/c2	match	match	true	true
text-0/a6/m2/n1/c3	match	match	true	true
text-0/a6/m3/n0/c0	match	match	true	true
text-0/a6/m3/n0/c1	match	match	true	true
text-0/a6/m3/n0/c2	match	match	true	true
text-0/a6/m3/n0/c3	match	match	true	true
text-0/a6/m3/n1/c0	match	match	true	true
text-0/a6/m3/n1/c1	match	match	true	true
text-0/a6/m3/n1/c2	match	match	true	true
text-0/a6/m3/n1/c3	match	match	true	true
text-0/a7/m0/n0/c0	match	match	true	true
text-0/a7/m0/n0/c1	match	match	true	true
text-0/a7/m0/n0/c2	match	match	true	true
text-0/a7/m0/n0/c3	match	match	true	true
text-0/a7/m0/n1/c0	match	match	true	true
text-0/a7/m0/n1/c1	match	match	true	true
text-0/a7/m0/n1/c2	match	match	true	true
text-0/a7/m0/n1/c3	match	match	true	true
text-0/a7/m1/n0/c0	match	match	true	true
text-0/a7/m1/n0/c1	match	match	true	true
text-0/a7/m1/n0/c2	match	match	true	true
text-0/a7/m1/n0/c3	match	match	true	true
text-0/a7/m1/n1/c0	match	match	true	true
text-0/a7/m1/n1/c1	match	match	true	true
text-0/a7/m1/n1/c2	match	match	true	true
text-0/a7/m1/n1/c3	match	match	true	true
text-0/a7/m2/n0/c0	match	match	true	true
text-0/a7/m2/n0/c1	match	match	true	true
text-0/a7/m2/n0/c2	match	match	true	true
text-0/a7/m2/n0/c3	match	match	true	true
text-0/a7/m2/n1/c0	match	match	true	true
text-0/a7/m2/n1/c1	match	match	true	true
